Nome;hp;tipo;nivel;TMs
Lapras;130;Água;5;55,89,94
Ditto;48;Normal;5;94
Eevee;55;Normal;5;40,85,87
Vaporeon;130;Água;5;55,89,94
Jolteon;65;Elétrico;5;24,25,87
Flareon;65;Fogo;5;38,50,61
Porygon;65;Normal;5;40,85,87
Omanyte;35;Pedra;5;28,37,76
Omastar;70;Pedra;5;28,37,76
Kabuto;30;Pedra;5;28,37,76
Kabutops;60;Pedra;5;28,37,76
Aerodactyl;80;Pedra;5;28,37,76
Snorlax;160;Normal;5;21,31,94
Articuno;90;Gelo;5;13,51,94
Zapdos;90;Elétrico;5;24,25,87
Moltres;90;Fogo;5;38,50,61
Dratini;41;Dragão;5;36,76,94
Dragonair;61;Dragão;5;36,76,94
Dragonite;91;Dragão;5;36,76,94
Mewtwo;106;Psíquico;5;29,33,94
Mew;100;Psíquico;5;29,33,94
